频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
老故事,rtsp://222.132.188.137:1554/iptv/import/Tvod/iptv/001/001/ch24012314302384136112.rsc/100090_Uni.sdp,rtsp://222.132.188.137:1554/iptv/Tvod/iptv/001/001/ch24012314302384136112.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,老故事,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/老故事.png,其他频道,,3jnltdb.m3u
财富天下,rtsp://222.132.188.144:1554/iptv/import/Tvod/iptv/001/001/ch21082717345151428687.rsc/96390_Uni.sdp,rtsp://222.132.188.144:1554/iptv/Tvod/iptv/001/001/ch21082717345151428687.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,财富天下,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/财富天下.png,其他频道,,3jnltdb.m3u
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV1,CCTV-1 综合,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV1,CCTV-1 综合,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV1,CCTV-1 综合,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,720x576,2sddxdb.m3u
CCTV-2 财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV2,CCTV-2 财经,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV2.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-3 综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV3,CCTV-3 综艺,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV3.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-4 中文,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV4,CCTV-4 中文,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV4.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-5 体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV5,CCTV-5 体育,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5.png,📺 央视频道,1920x1080,2sddxdb.m3u
CCTV-5+ 体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8?startTime=${(b)10}&endTime=${(e)10},default,7,CCTV5+,CCTV-5+ 体育赛事,,,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5+.png,📺 央视频道,1920x1080,2sddxdb.m3u
